"sku","product_name","edition","season","colour_pantone","smell_code"
"10101DE",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101DE-L",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101DE-M",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101DE-S",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101FR",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101FR-L",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101FR-M",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101FR-S",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101IT",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101IT-L",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101IT-M",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101IT-S",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101UK",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101UK-L",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101UK-M",Cookies & Cream,classic,all_year,"7506C","18123F"
"10101UK-S",Cookies & Cream,classic,all_year,"7506C","18123F"
"10102FR",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102FR-L",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102FR-M",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102FR-S",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102IT-L",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102IT-M",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102IT-S",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102UK-L",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102UK-M",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10102UK-S",Creamy Vanilla,classic,all_year,"7506C",EAD26540/00
"10105DE",Happy Birthday,classic,all_year,"241C","18123F"
"10105DE-L",Happy Birthday,classic,all_year,"241C","18123F"
"10105DE-M",Happy Birthday,classic,all_year,"241C","18123F"
"10105DE-S",Happy Birthday,classic,all_year,"241C","18123F"
"10105FR",Happy Birthday,classic,all_year,"241C","18123F"
"10105FR-L",Happy Birthday,classic,all_year,"241C","18123F"
"10105FR-M",Happy Birthday,classic,all_year,"241C","18123F"
"10105FR-S",Happy Birthday,classic,all_year,"241C","18123F"
"10105IT",Happy Birthday,classic,all_year,"241C","18123F"
"10105IT-L",Happy Birthday,classic,all_year,"241C","18123F"
"10105IT-M",Happy Birthday,classic,all_year,"241C","18123F"
"10105IT-S",Happy Birthday,classic,all_year,"241C","18123F"
"10105UK",Happy Birthday,classic,all_year,"241C","18123F"
"10105UK-L",Happy Birthday,classic,all_year,"241C","18123F"
"10105UK-M",Happy Birthday,classic,all_year,"241C","18123F"
"10105UK-S",Happy Birthday,classic,all_year,"241C","18123F"
"10106DE",Passion Fruit,classic,summer,"3945C","13/2304"
"10106FR",Passion Fruit,classic,summer,"3945C","13/2304"
"10106IT",Passion Fruit,classic,summer,"3945C","13/2304"
"10106UK",Passion Fruit,classic,summer,"3945C","13/2304"
"10107FR",Pink Cherry,classic,summer,"219C","26269F"
"10107FR-L",Pink Cherry,classic,summer,"219C","26269F"
"10107FR-M",Pink Cherry,classic,summer,"219C","26269F"
"10107FR-S",Pink Cherry,classic,summer,"219C","26269F"
"10107FR-XS",Pink Cherry,classic,summer,"219C","26269F"
"10107IT",Pink Cherry,classic,summer,"219C","26269F"
