"pantone","hex","munsell_hue","munsell_value","munsell_chroma","name"
"7499C",F1E6B2,"10Y","9","4",Light Yellow
"2587C","8246AF","2.5P","4","14",Dark Purple
"357C","215732","10GY","3","6",Green 
"204C",E782A9,"7.5RP","6","10",Light Pink
"2635C",C5B4E3,"2.5P","7","6",Light Purple
"7635C",C63663,"10RP","4","12",Pink
"702C",D25B73,"2.5R","5","10",Pink
"2101C","8A75D1","10PB","5","10",Greyish Indigo
"7425C",B52555,"10RP","4","14",Pink
"3572C",FE9B96,"7.5R","7","8",Pink
"2255C","86D295","2.5G","8","8",Mint Green
"2296C",D6E865,"5GY","9","10",Lime Green
"0631C",BF9BDE,"5P","7","8",Purple
"0921C","9DE7D7","10G","9","6",Mint Green
"7411C",E6A65D,"10YR","7","8",Brown
"1","0",N0,"0","0",Black
"7439C",B288B9,"7.5P","6","6",Light Purple
"513C","93328E","10P","4","12",Purple
"206C",CE0037,"5R","4","14",Red
"358C",ADDC91,"10GY","8","8",Green
"486C",E8927C,"10R","7","8",Coral
"361C","43B02A","10GY","6","14",Green
"5513C",ABC7C9,"2.5BG","8","2",Green Grey
"2050C",EFD7E5,"10RP","9","2",Light Ceriseish Gray
"427C",D0D3D4,"5B","8","2",Light Grey
"7591C",C07D59,"5YR","6","6",Brown
"219C",DA1884,"5RP","5","18",Pink
"7549C",FFB500,"2.5Y","8","10",Yellow
"7506C",EFDBB2,"5Y","9","4",Beige 
"177C",FF808B,"5R","7","8",Light Pink
"181C","81312F","7.5R","3","8",Red
"2627C","3C1053","2.5P","1","8",Violet
"325C","64CCC9","5BG","7","8",Turquoise
"7437C",CCAED0,"7.5P","7","4",Lilac
"354C","00B140","10GY","6","14",Light Green
"190C",F67599,"10RP","6","12",Pink
"7440C",A277A6,"7.5P","5","6",Light Purple
"2582C",AC4FC6,"5P","5","16",Purple
"199C",D50032,"5R","4","14",Red
"356C","007A33","10GY","4","8",Green 
"1905C",F59BBB,"7.5RP","7","8",Orange
"7416C",E56A54,"7.5R","6","12",Pale Pink
"1945C",A60A3D,"2.5R","3","10",Pink
"396C",E1E000,"2.5GY","9","12",Yellow
"7427C","971B2F","5R","3","10",Dark Red
"5513C",ABC7CA,"2.5BG","8","2",Ice Blue 
"2420C","00C65E","2.5G","7","12",Green 
"271C","9595D2","7.5PB","6","6",Purple
"134C",FDD26E,"2.5Y","8","8",Light Orange
"225C",DF1995,"5RP","5","18",Dark Pink
"1935C",C5003E,"5R","4","14",Dark Pink
