"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"10101DE",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101DE-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101DE-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101DE-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102FR",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102FR-L",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102FR-M",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
